1120 [  ], sum = 0, rest = 1120
1120 [ 24,23,3,2 ], sum = 1118, rest = 2
1120 [ 23 ], sum = 529, rest = 591
1120 [ 23,23 ], sum = 1058, rest = 62
1120 [ 23,23,7 ], sum = 1107, rest = 13
1120 [ 23,23,7,3 ], sum = 1116, rest = 4
1120 [ 22 ], sum = 484, rest = 636
1120 [ 22,22 ], sum = 968, rest = 152
1120 [ 22,22,12 ], sum = 1112, rest = 8
1120 [ 22,22,12,2 ], sum = 1116, rest = 4
1120 [ 21 ], sum = 441, rest = 679
1120 [ 21,21 ], sum = 882, rest = 238
1120 [ 21,21,15 ], sum = 1107, rest = 13
1120 [ 21,21,15,3 ], sum = 1116, rest = 4
1120 [ 20 ], sum = 400, rest = 720
1120 [ 20,20 ], sum = 800, rest = 320
1120 [ 20,20,17 ], sum = 1089, rest = 31
1120 [ 20,20,17,5 ], sum = 1114, rest = 6
1120 [ 19 ], sum = 361, rest = 759
1120 [ 19,19 ], sum = 722, rest = 398
1120 [ 19,19,19 ], sum = 1083, rest = 37
1120 [ 19,19,19,6 ], sum = 1119, rest = 1
1120 [ 18 ], sum = 324, rest = 796
1120 [ 18,18 ], sum = 648, rest = 472
1120 [ 18,18,18 ], sum = 972, rest = 148
1120 [ 18,18,18,12 ], sum = 1116, rest = 4
1120 [ 17 ], sum = 289, rest = 831
1120 [ 17,17 ], sum = 578, rest = 542
1120 [ 17,17,17 ], sum = 867, rest = 253
1120 [ 17,17,17,15 ], sum = 1092, rest = 28
1120 [ 16 ], sum = 256, rest = 864
1120 [ 16,16 ], sum = 512, rest = 608
1120 [ 16,16,16 ], sum = 768, rest = 352
1120 [ 16,16,16,16 ], sum = 1024, rest = 96
1120 [ 15 ], sum = 225, rest = 895
1120 [ 15,15 ], sum = 450, rest = 670
1120 [ 15,15,15 ], sum = 675, rest = 445
1120 [ 15,15,15,15 ], sum = 900, rest = 220
1120 [ 14 ], sum = 196, rest = 924
1120 [ 14,14 ], sum = 392, rest = 728
1120 [ 14,14,14 ], sum = 588, rest = 532
1120 [ 14,14,14,14 ], sum = 784, rest = 336
1120 [ 13 ], sum = 169, rest = 951
1120 [ 13,13 ], sum = 338, rest = 782
1120 [ 13,13,13 ], sum = 507, rest = 613
1120 [ 13,13,13,13 ], sum = 676, rest = 444
1120 [ 12 ], sum = 144, rest = 976
1120 [ 12,12 ], sum = 288, rest = 832
1120 [ 12,12,12 ], sum = 432, rest = 688
1120 [ 12,12,12,12 ], sum = 576, rest = 544
1120 [ 11 ], sum = 121, rest = 999
1120 [ 11,11 ], sum = 242, rest = 878
1120 [ 11,11,11 ], sum = 363, rest = 757
1120 [ 11,11,11,11 ], sum = 484, rest = 636
1120 [ 10 ], sum = 100, rest = 1020
1120 [ 10,10 ], sum = 200, rest = 920
1120 [ 10,10,10 ], sum = 300, rest = 820
1120 [ 10,10,10,10 ], sum = 400, rest = 720
1120 [ 9 ], sum = 81, rest = 1039
1120 [ 9,9 ], sum = 162, rest = 958
1120 [ 9,9,9 ], sum = 243, rest = 877
1120 [ 9,9,9,9 ], sum = 324, rest = 796
1120 [ 8 ], sum = 64, rest = 1056
1120 [ 8,8 ], sum = 128, rest = 992
1120 [ 8,8,8 ], sum = 192, rest = 928
1120 [ 8,8,8,8 ], sum = 256, rest = 864
1120 [ 7 ], sum = 49, rest = 1071
1120 [ 7,7 ], sum = 98, rest = 1022
1120 [ 7,7,7 ], sum = 147, rest = 973
1120 [ 7,7,7,7 ], sum = 196, rest = 924
1120 [ 6 ], sum = 36, rest = 1084
1120 [ 6,6 ], sum = 72, rest = 1048
1120 [ 6,6,6 ], sum = 108, rest = 1012
1120 [ 6,6,6,6 ], sum = 144, rest = 976
1120 [ 5 ], sum = 25, rest = 1095
1120 [ 5,5 ], sum = 50, rest = 1070
1120 [ 5,5,5 ], sum = 75, rest = 1045
1120 [ 5,5,5,5 ], sum = 100, rest = 1020
1120 [ 4 ], sum = 16, rest = 1104
1120 [ 4,4 ], sum = 32, rest = 1088
1120 [ 4,4,4 ], sum = 48, rest = 1072
1120 [ 4,4,4,4 ], sum = 64, rest = 1056
1120 [ 3 ], sum = 9, rest = 1111
1120 [ 3,3 ], sum = 18, rest = 1102
1120 [ 3,3,3 ], sum = 27, rest = 1093
1120 [ 3,3,3,3 ], sum = 36, rest = 1084
1120 [ 2 ], sum = 4, rest = 1116
1120 [ 2,2 ], sum = 8, rest = 1112
1120 [ 2,2,2 ], sum = 12, rest = 1108
1120 [ 2,2,2,2 ], sum = 16, rest = 1104
1120 [ 1 ], sum = 1, rest = 1119
1120 [ 1,1 ], sum = 2, rest = 1118
1120 [ 1,1,1 ], sum = 3, rest = 1117
1120 [ 1,1,1,1 ], sum = 4, rest = 1116
1120 [ 0 ], sum = 0, rest = 1120
